temperature,profit
95.000000,80.980000
45.000000,22.340000
77.000000,53.820000
87.000000,70.430000
79.000000,67.420000
90.000000,73.940000
77.000000,57.470000
52.000000,27.870000
78.000000,62.580000
82.000000,65.490000
77.000000,58.720000
62.000000,41.440000
77.000000,56.330000
79.000000,56.340000
73.000000,51.820000
78.000000,59.120000
49.000000,27.810000
54.000000,30.090000
72.000000,51.550000
52.000000,30.670000
81.000000,61.520000
95.000000,80.970000
78.000000,58.310000
85.000000,68.280000
80.000000,63.460000
68.000000,49.370000
46.000000,19.810000
79.000000,62.520000
95.000000,80.750000
68.000000,47.170000
68.000000,45.650000
74.000000,55.280000
42.000000,18.650000
68.000000,49.600000
56.000000,34.470000
57.000000,35.800000
96.000000,80.950000
84.000000,68.540000
74.000000,53.620000
58.000000,33.440000
66.000000,42.160000
93.000000,77.180000
54.000000,31.940000
54.000000,29.750000
64.000000,40.570000
85.000000,69.710000
76.000000,53.170000
101.000000,85.020000
70.000000,49.120000
66.000000,48.260000
73.000000,53.210000
66.000000,45.070000
59.000000,29.690000
78.000000,57.930000
74.000000,54.280000
48.000000,23.780000
75.000000,58.620000
79.000000,57.060000
92.000000,77.410000
66.000000,47.680000
61.000000,39.530000
78.000000,59.620000
74.000000,58.610000
73.000000,53.970000
69.000000,48.770000
52.000000,28.820000
63.000000,44.150000
81.000000,59.470000
69.000000,42.500000
71.000000,49.600000
90.000000,71.120000
67.000000,50.620000
63.000000,40.590000
50.000000,27.640000
74.000000,50.640000
53.000000,31.620000
84.000000,67.580000
58.000000,31.560000
72.000000,51.260000
77.000000,59.480000
64.000000,44.100000
73.000000,54.670000
83.000000,65.660000
79.000000,61.710000
52.000000,28.050000
44.000000,19.070000
72.000000,53.780000
62.000000,39.040000
92.000000,75.040000
64.000000,44.070000
74.000000,54.360000
55.000000,29.530000
76.000000,56.590000
69.000000,41.740000
63.000000,50.170000
85.000000,67.880000
55.000000,33.910000
101.000000,81.910000
66.000000,46.740000
54.000000,33.580000
71.000000,55.040000
76.000000,53.480000
59.000000,38.470000
85.000000,64.960000
77.000000,54.100000
86.000000,69.660000
66.000000,40.650000
53.000000,32.600000
50.000000,27.290000
73.000000,55.010000
86.000000,69.590000
90.000000,77.390000
59.000000,37.500000
80.000000,55.470000
59.000000,37.740000
53.000000,25.710000
82.000000,64.020000
64.000000,40.940000
85.000000,64.220000
84.000000,66.610000
63.000000,39.170000
76.000000,60.310000
66.000000,44.480000
68.000000,47.470000
61.000000,37.300000
77.000000,60.860000
