iteration,error,theta(0),theta(1)
493401.000000,3.664971,-26.990502,1.101871
493402.000000,3.664966,-26.990524,1.101872
493403.000000,3.664961,-26.990546,1.101872
493404.000000,3.664957,-26.990568,1.101872
493405.000000,3.664952,-26.990590,1.101873
493406.000000,3.664947,-26.990612,1.101873
493407.000000,3.664942,-26.990634,1.101873
493408.000000,3.664937,-26.990656,1.101873
493409.000000,3.664932,-26.990678,1.101874
493410.000000,3.664928,-26.990699,1.101874
493411.000000,3.664923,-26.990721,1.101874
493412.000000,3.664918,-26.990743,1.101875
493413.000000,3.664913,-26.990765,1.101875
493414.000000,3.664908,-26.990787,1.101875
493415.000000,3.664904,-26.990809,1.101875
493416.000000,3.664899,-26.990831,1.101876
493417.000000,3.664894,-26.990853,1.101876
493418.000000,3.664889,-26.990875,1.101876
493419.000000,3.664884,-26.990897,1.101877
493420.000000,3.664879,-26.990919,1.101877
493421.000000,3.664875,-26.990941,1.101877
493422.000000,3.664870,-26.990963,1.101878
493423.000000,3.664865,-26.990985,1.101878
493424.000000,3.664860,-26.991007,1.101878
493425.000000,3.664855,-26.991029,1.101878
493426.000000,3.664851,-26.991051,1.101879
493427.000000,3.664846,-26.991073,1.101879
493428.000000,3.664841,-26.991095,1.101879
493429.000000,3.664836,-26.991116,1.101880
493430.000000,3.664831,-26.991138,1.101880
493431.000000,3.664827,-26.991160,1.101880
493432.000000,3.664822,-26.991182,1.101880
493433.000000,3.664817,-26.991204,1.101881
493434.000000,3.664812,-26.991226,1.101881
493435.000000,3.664807,-26.991248,1.101881
493436.000000,3.664802,-26.991270,1.101882
493437.000000,3.664798,-26.991292,1.101882
493438.000000,3.664793,-26.991314,1.101882
493439.000000,3.664788,-26.991336,1.101883
493440.000000,3.664783,-26.991358,1.101883
493441.000000,3.664778,-26.991380,1.101883
493442.000000,3.664774,-26.991402,1.101883
493443.000000,3.664769,-26.991424,1.101884
493444.000000,3.664764,-26.991446,1.101884
493445.000000,3.664759,-26.991468,1.101884
493446.000000,3.664754,-26.991490,1.101885
493447.000000,3.664749,-26.991511,1.101885
493448.000000,3.664745,-26.991533,1.101885
493449.000000,3.664740,-26.991555,1.101885
493450.000000,3.664735,-26.991577,1.101886
493451.000000,3.664730,-26.991599,1.101886
493452.000000,3.664725,-26.991621,1.101886
493453.000000,3.664721,-26.991643,1.101887
493454.000000,3.664716,-26.991665,1.101887
493455.000000,3.664711,-26.991687,1.101887
493456.000000,3.664706,-26.991709,1.101888
493457.000000,3.664701,-26.991731,1.101888
493458.000000,3.664696,-26.991753,1.101888
493459.000000,3.664692,-26.991775,1.101888
493460.000000,3.664687,-26.991797,1.101889
493461.000000,3.664682,-26.991819,1.101889
493462.000000,3.664677,-26.991841,1.101889
493463.000000,3.664672,-26.991863,1.101890
493464.000000,3.664668,-26.991885,1.101890
493465.000000,3.664663,-26.991906,1.101890
493466.000000,3.664658,-26.991928,1.101890
493467.000000,3.664653,-26.991950,1.101891
493468.000000,3.664648,-26.991972,1.101891
493469.000000,3.664643,-26.991994,1.101891
493470.000000,3.664639,-26.992016,1.101892
493471.000000,3.664634,-26.992038,1.101892
493472.000000,3.664629,-26.992060,1.101892
493473.000000,3.664624,-26.992082,1.101893
493474.000000,3.664619,-26.992104,1.101893
493475.000000,3.664615,-26.992126,1.101893
493476.000000,3.664610,-26.992148,1.101893
493477.000000,3.664605,-26.992170,1.101894
493478.000000,3.664600,-26.992192,1.101894
493479.000000,3.664595,-26.992214,1.101894
493480.000000,3.664590,-26.992236,1.101895
493481.000000,3.664586,-26.992258,1.101895
493482.000000,3.664581,-26.992280,1.101895
493483.000000,3.664576,-26.992301,1.101896
493484.000000,3.664571,-26.992323,1.101896
493485.000000,3.664566,-26.992345,1.101896
493486.000000,3.664562,-26.992367,1.101896
493487.000000,3.664557,-26.992389,1.101897
493488.000000,3.664552,-26.992411,1.101897
493489.000000,3.664547,-26.992433,1.101897
493490.000000,3.664542,-26.992455,1.101898
493491.000000,3.664538,-26.992477,1.101898
493492.000000,3.664533,-26.992499,1.101898
493493.000000,3.664528,-26.992521,1.101898
493494.000000,3.664523,-26.992543,1.101899
493495.000000,3.664518,-26.992565,1.101899
493496.000000,3.664513,-26.992587,1.101899
493497.000000,3.664509,-26.992609,1.101900
493498.000000,3.664504,-26.992631,1.101900
493499.000000,3.664499,-26.992653,1.101900
493500.000000,3.664494,-26.992674,1.101901
