temperature,profit
85.000000,70.300000
59.000000,38.180000
61.000000,38.160000
77.000000,58.720000
54.000000,28.370000
83.000000,60.780000
95.000000,80.980000
80.000000,64.450000
80.000000,59.910000
70.000000,48.820000
82.000000,64.970000
77.000000,60.860000
68.000000,41.680000
45.000000,22.340000
66.000000,47.680000
60.000000,40.950000
92.000000,75.600000
76.000000,59.690000
77.000000,53.820000
85.000000,68.280000
65.000000,41.090000
49.000000,27.810000
81.000000,64.360000
52.000000,27.870000
58.000000,31.560000
60.000000,39.690000
91.000000,79.310000
78.000000,59.620000
59.000000,35.330000
68.000000,49.600000
41.000000,18.820000
77.000000,57.470000
76.000000,60.310000
70.000000,49.120000
86.000000,68.350000
55.000000,34.190000
43.000000,15.880000
84.000000,64.100000
95.000000,80.750000
77.000000,59.870000
77.000000,56.330000
93.000000,77.180000
87.000000,70.640000
80.000000,62.790000
66.000000,42.160000
76.000000,59.940000
82.000000,66.060000
90.000000,73.940000
85.000000,65.990000
81.000000,64.230000
90.000000,71.120000
77.000000,54.100000
76.000000,56.590000
68.000000,43.730000
74.000000,55.520000
78.000000,57.250000
71.000000,55.040000
61.000000,37.420000
45.000000,19.230000
92.000000,78.200000
85.000000,67.930000
77.000000,55.070000
63.000000,50.170000
58.000000,36.110000
83.000000,62.580000
79.000000,56.340000
58.000000,32.390000
77.000000,60.750000
69.000000,42.500000
56.000000,34.470000
82.000000,64.860000
63.000000,44.150000
60.000000,36.250000
82.000000,63.410000
76.000000,53.170000
78.000000,61.220000
39.000000,13.170000
68.000000,46.900000
46.000000,19.810000
94.000000,75.700000
87.000000,68.480000
67.000000,45.260000
66.000000,46.740000
45.000000,21.620000
70.000000,52.050000
80.000000,63.460000
52.000000,30.670000
55.000000,27.680000
80.000000,61.820000
61.000000,39.420000
66.000000,44.480000
70.000000,50.310000
48.000000,24.680000
84.000000,65.200000
66.000000,45.070000
66.000000,44.980000
54.000000,27.410000
74.000000,58.610000
71.000000,54.590000
90.000000,75.940000
62.000000,40.190000
56.000000,33.220000
50.000000,22.890000
82.000000,61.850000
79.000000,59.700000
72.000000,53.590000
50.000000,27.290000
75.000000,55.910000
68.000000,47.730000
80.000000,65.420000
86.000000,64.850000
61.000000,39.530000
61.000000,37.300000
83.000000,65.540000
67.000000,44.850000
72.000000,52.470000
81.000000,62.320000
70.000000,49.950000
53.000000,28.480000
58.000000,33.440000
68.000000,45.890000
78.000000,60.890000
69.000000,51.380000
73.000000,52.420000
65.000000,45.380000
88.000000,69.670000
80.000000,61.220000
77.000000,57.520000
66.000000,47.360000
60.000000,35.060000
84.000000,66.610000
74.000000,50.640000
82.000000,64.390000
82.000000,66.150000
75.000000,55.340000
71.000000,52.170000
66.000000,51.750000
82.000000,65.490000
74.000000,57.100000
72.000000,51.550000
62.000000,41.440000
67.000000,50.620000
84.000000,66.260000
88.000000,74.690000
68.000000,49.370000
58.000000,35.130000
87.000000,70.290000
59.000000,37.500000
96.000000,80.020000
96.000000,82.830000
85.000000,64.220000
50.000000,25.680000
65.000000,42.710000
88.000000,69.780000
79.000000,59.930000
59.000000,32.290000
90.000000,74.800000
89.000000,73.160000
52.000000,28.820000
74.000000,50.650000
74.000000,53.620000
65.000000,42.100000
85.000000,64.960000
59.000000,37.740000
79.000000,62.520000
